000000039 911   L $$aPShKo-DNC-LDNBG-036$$cאוסף שוש קורמוש
000000039 351   L $$cFile Record
000000039 24510 H $$aתצלומים - להקת המחול, יצירה לא ידועה
000000039 BAS   L $$aVIS
000000039 999   L $$aARCHIVE$$bNOULI$$bNOOCLC
000000039 OWN   L $$aNNL
000000039 STA   L $$aSUPPRESSED
000000040 FMT   L MX
000000040 LDR   L 00000npc^a22^^^^^^^^4500
000000040 008   L 190707k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d
000000040 911   L $$aPShKo-DNC-LDNBG-037$$cאוסף שוש קורמוש
000000040 351   L $$cFile Record
000000040 24510 H $$aתצלומים - להקת המחול, יצירה לא ידועה
000000040 BAS   L $$aVIS
000000040 999   L $$aARCHIVE$$bNOULI$$bNOOCLC
000000040 OWN   L $$aNNL
000000040 STA   L $$aSUPPRESSED
000000041 FMT   L MX
000000041 LDR   L 00000npc^a22^^^^^^^^4500
000000041 008   L 190707k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d
000000041 911   L $$aPShKo-DNC-LDNBG-038$$cאוסף שוש קורמוש
000000041 351   L $$cFile Record
000000041 24510 H $$aתצלומים - להקת המחול, יצירה לא ידועה
000000041 BAS   L $$aVIS
000000041 999   L $$aARCHIVE$$bNOULI$$bNOOCLC
000000041 OWN   L $$aNNL
000000041 STA   L $$aSUPPRESSED
000000042 FMT   L MX
000000042 LDR   L 00000npc^a22^^^^^^^^4500
000000042 008   L 190707k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d
000000042 911   L $$aPShKo-DNC-LDNBG-039$$cאוסף שוש קורמוש
000000042 351   L $$cFile Record
000000042 24510 H $$aתצלומים - להקת המחול, יצירה לא ידועה
000000042 BAS   L $$aVIS
000000042 999   L $$aARCHIVE$$bNOULI$$bNOOCLC
000000042 OWN   L $$aNNL
000000042 STA   L $$aSUPPRESSED
000000043 FMT   L MX
000000043 LDR   L 00000npc^a22^^^^^^^^4500
