911##a	911##c	351##c	LDR	008	24510a	BAS##a	999##a	999##b	999##b	FMT	OWN##a	STA##a
PAlAv-001-002-018	אוסף אלפרד אברהם	תיק	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	רישומים אדריכליים - R. Sabbag villa	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PAlAv-002	אוסף אלפרד אברהם	חטיבה	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	תצלומים - בתי מגורים ובתי עסק	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PAlAv-002-001	אוסף אלפרד אברהם	סדרה	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלומים - בתי מגורים, מיקומים שונים, 1 מתוך 14"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PAlAv-002-001-001	אוסף אלפרד אברהם	תיק	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום - בית שולמן, מיקום לא ידוע"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PAlAv-002-001-002	אוסף אלפרד אברהם	תיק	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלומים - בית גרינוואלד, מיקומים לא ידועים"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PAlAv-002-001-003	אוסף אלפרד אברהם	תיק	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום - בית קורף, מיקום לא ידוע"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PAlAv-002-001-004	אוסף אלפרד אברהם	תיק	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום - בית שטראוס, מיקום לא ידוע"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PAlAv-002-001-005	אוסף אלפרד אברהם	תיק	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלומים - בית בן שמש, מיקומים לא ידועים"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PAlAv-002-001-006	אוסף אלפרד אברהם	תיק	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלומים - בית רזכן, מיקומים לא ידועים"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PAlAv-002-001-007	אוסף אלפרד אברהם	תיק	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום - בית שמורק, מיקום לא ידוע"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PAlAv-002-001-008	אוסף אלפרד אברהם	תיק	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום - בית אברהם, מיקום לא ידוע"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PAlAv-002-001-009	אוסף אלפרד אברהם	תיק	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלומים - בית רפפורט, מיקומים לא ידועים"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
