	911##a	911##c	351##c	Parent	LDR	008	24500a	BAS##a	999##a	999##b	999##b	FMT	OWN##a
ArGeZi-001-013-006	אוסף גרשון ציפור	פריט	ArGeZi-001-013	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום מודל ללא קנה מידה במבט צידי של מעונות הסטודנטים בגבעה הצרפתית, האוניברסיטה העברית הר הצופים"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-013-007	אוסף גרשון ציפור	פריט	ArGeZi-001-013	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום מודל ללא קנה מידה במבט אלכסוני של מעונות הסטודנטים בגבעה הצרפתית, האוניברסיטה העברית הר הצופים"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-013-008	אוסף גרשון ציפור	פריט	ArGeZi-001-013	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום מודל ללא קנה מידה במבט אלכסוני של מעונות הסטודנטים בגבעה הצרפתית, האוניברסיטה העברית הר הצופים"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-013-009	אוסף גרשון ציפור	פריט	ArGeZi-001-013	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום מודל ללא קנה מידה במבט אלכסוני של מעונות הסטודנטים בגבעה הצרפתית, האוניברסיטה העברית הר הצופים"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-013-010	אוסף גרשון ציפור	פריט	ArGeZi-001-013	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום מודל ללא קנה מידה במבט אלכסוני של מעונות הסטודנטים בגבעה הצרפתית, האוניברסיטה העברית הר הצופים"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-013-011	אוסף גרשון ציפור	פריט	ArGeZi-001-013	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום מודל ללא קנה מידה במבט אלכסוני של מעונות הסטודנטים בגבעה הצרפתית, האוניברסיטה העברית הר הצופים"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-013-012	אוסף גרשון ציפור	פריט	ArGeZi-001-013	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום מודל בקנה מידה 1:500 במבט על של מעונות הסטודנטים בגבעה הצרפתית, האוניברסיטה העברית הר הצופים"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-013-013	אוסף גרשון ציפור	פריט	ArGeZi-001-013	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום מודל ללא קנה מידה במבט על של מעונות הסטודנטים בגבעה הצרפתית, האוניברסיטה העברית הר הצופים"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-013-014	אוסף גרשון ציפור	פריט	ArGeZi-001-013	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום מודל ללא קנה מידה במבט על של מעונות הסטודנטים בגבעה הצרפתית, האוניברסיטה העברית הר הצופים"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-013-015	אוסף גרשון ציפור	פריט	ArGeZi-001-013	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום מודל ללא קנה מידה במבט על של מעונות הסטודנטים בגבעה הצרפתית, האוניברסיטה העברית הר הצופים"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-013-016	אוסף גרשון ציפור	פריט	ArGeZi-001-013	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום מודל ללא קנה מידה במבט על של מעונות הסטודנטים בגבעה הצרפתית, האוניברסיטה העברית הר הצופים"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-013-017	אוסף גרשון ציפור	פריט	ArGeZi-001-013	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום מודל בקנה מידה 1:500 במבט על של מעונות הסטודנטים בגבעה הצרפתית, האוניברסיטה העברית הר הצופים"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-013-018	אוסף גרשון ציפור	פריט	ArGeZi-001-013	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום מודל בקנה מידה 1:500 במבט אלכסוני של מעונות הסטודנטים בגבעה הצרפתית, האוניברסיטה העברית הר הצופים"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
