911##a	911##c	351##c	LDR	008	24500a	BAS##a	999##a	999##b	999##b	FMT	OWN##a	STA##a
ArHb-001-005-020	אוסף חנן הברון	פריט	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"חדר אוכל ומטבח, דפנה"	VIS	ARCHIVE	NOULI	NOULI	MX	NNL	SUPPRESSED
ArHb-001-006	אוסף חנן הברון	תיק	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"מרפאות בקיבוצים רעים, פרוד, כיסופים ומשאבי שדה"	VIS	ARCHIVE	NOULI	NOULI	MX	NNL	SUPPRESSED
ArHb-001-006-001	אוסף חנן הברון	פריט	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	ריהוט חדר רופא שיניים	VIS	ARCHIVE	NOULI	NOULI	MX	NNL	SUPPRESSED
ArHb-001-006-002	אוסף חנן הברון	פריט	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"הצעה למרפאה, מועצה אזורית חבל מעון"	VIS	ARCHIVE	NOULI	NOULI	MX	NNL	SUPPRESSED
ArHb-001-006-003	אוסף חנן הברון	פריט	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"הצעה למרפאה, מועצה אזורית חבל מעון"	VIS	ARCHIVE	NOULI	NOULI	MX	NNL	SUPPRESSED
ArHb-001-007	אוסף חנן הברון	תיק	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"בית אחמד,כפר קרע"	VIS	ARCHIVE	NOULI	NOULI	MX	NNL	SUPPRESSED
ArHb-001-007-001	אוסף חנן הברון	פריט	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"בית אחמד, כפר קרע"	VIS	ARCHIVE	NOULI	NOULI	MX	NNL	SUPPRESSED
ArHb-001-007-002	אוסף חנן הברון	פריט	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"בית אחמד, כפר קרע"	VIS	ARCHIVE	NOULI	NOULI	MX	NNL	SUPPRESSED
ArHb-001-007-003	אוסף חנן הברון	פריט	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"בית אחמד, כפר קרע"	VIS	ARCHIVE	NOULI	NOULI	MX	NNL	SUPPRESSED
ArHb-001-007-004	אוסף חנן הברון	פריט	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"בית אחמד, כפר קרע"	VIS	ARCHIVE	NOULI	NOULI	MX	NNL	SUPPRESSED
ArHb-001-007-005	אוסף חנן הברון	פריט	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"בית אחמד, כפר קרע"	VIS	ARCHIVE	NOULI	NOULI	MX	NNL	SUPPRESSED
ArHb-001-007-006	אוסף חנן הברון	פריט	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"בית אחמד, כפר קרע"	VIS	ARCHIVE	NOULI	NOULI	MX	NNL	SUPPRESSED
ArHb-001-008	אוסף חנן הברון	תיק	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	שכונת נוער בקיבוץ רעים	VIS	ARCHIVE	NOULI	NOULI	MX	NNL	SUPPRESSED
ArHb-001-008-001	אוסף חנן הברון	פריט	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"שכונת נוער, רעים"	VIS	ARCHIVE	NOULI	NOULI	MX	NNL	SUPPRESSED
ArHb-001-008-002	אוסף חנן הברון	פריט	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"שכונת נוער, רעים"	VIS	ARCHIVE	NOULI	NOULI	MX	NNL	SUPPRESSED
ArHb-001-009	אוסף חנן הברון	תיק	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	בית המועצה בחבל מעון	VIS	ARCHIVE	NOULI	NOULI	MX	NNL	SUPPRESSED
ArHb-001-009-001	אוסף חנן הברון	פריט	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"בית המועצה, מועצה אזורית חבל מעון"	VIS	ARCHIVE	NOULI	NOULI	MX	NNL	SUPPRESSED
ArHb-001-009-002	אוסף חנן הברון	פריט	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"בית המועצה, מועצה אזורית חבל מעון"	VIS	ARCHIVE	NOULI	NOULI	MX	NNL	SUPPRESSED
ArHb-001-010	אוסף חנן הברון	תיק	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	בית נמרי באשדות יעקב	VIS	ARCHIVE	NOULI	NOULI	MX	NNL	SUPPRESSED
ArHb-001-010-001	אוסף חנן הברון	פריט	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"בית נמרי, אשדות יעקב"	VIS	ARCHIVE	NOULI	NOULI	MX	NNL	SUPPRESSED
ArHb-001-010-002	אוסף חנן הברון	פריט	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"בית נמרי, אשדות יעקב"	VIS	ARCHIVE	NOULI	NOULI	MX	NNL	SUPPRESSED
